ChannelID,subs,nvideos,views,Category,Language,Type
Y0195,81912,40,53888,food,Spanish,Individual
Y0196,5861,44,7144,music,English,Goverment
Y0197,76980,61,20783,music,English,Individual
Y0198,102623,48,35187,news,English,Individual
Y0199,95829,93,85610,food,Russia,Goverment
Y0200,77483,9,47402,music,Spanish,Individual
Y0201,85017,42,33468,travel,Russia,Goverment
Y0202,178091,9,182211,gaming,English,Goverment
Y0203,101750,34,71108,music,Russia,Individual
Y0204,83288,45,98343,music,English,Individual
Y0205,87262,62,56780,gaming,Russia,Corperate
Y0206,65569,75,94276,music,Spanish,NGO
Y0207,88121,39,79589,music,English,Individual
Y0208,19325,57,3422,music,English,Individual
Y0209,124912,96,171512,gaming,English,Individual
Y0210,118861,90,96234,music,Chinese,Individual
Y0211,122051,32,57538,news,Japanese,Individual
Y0212,156780,75,184189,travel,English,Goverment
Y0213,76223,33,21386,food,Franch,Individual
Y0214,35719,71,42935,music,English,Individual
Y0215,128628,42,124929,travel,Japanese,Individual
Y0216,160982,94,38603,music,Spanish,Individual
Y0217,106921,52,56212,news,Japanese,Individual
Y0218,110671,61,9745,news,English,Goverment
Y0219,96148,74,26090,travel,Japanese,Individual
Y0220,130156,77,73790,travel,English,NGO
Y0221,31671,97,43123,travel,English,Individual
Y0222,123528,22,161038,travel,Franch,Individual
Y0223,65537,24,90694,gaming,Japanese,Individual
Y0224,94244,18,106132,travel,Russia,Corperate
Y0225,85733,39,7218,food,English,Goverment
Y0226,71499,66,21211,food,English,Individual
Y0227,156243,18,81389,news,Japanese,Goverment
Y0228,13459,1,0,gaming,English,NGO
Y0229,105342,11,93560,food,Japanese,Individual
Y0230,59105,47,14140,food,Russia,Individual
Y0231,59086,4,28629,travel,English,Individual
Y0232,1,6,0,news,English,NGO
Y0233,64210,93,51721,gaming,English,Individual
Y0234,54058,22,36184,travel,English,NGO
Y0235,108041,27,69683,music,English,Goverment
Y0236,58476,76,64646,news,English,Individual
Y0237,117626,72,31167,travel,Franch,NGO
Y0238,3494,34,4039,news,Spanish,Individual
Y0239,70178,54,91792,music,Spanish,Individual
Y0240,113907,78,86608,gaming,English,Individual
Y0241,118993,17,86560,travel,English,Individual
Y0242,1,85,595,food,English,NGO
Y0243,152080,56,21044,gaming,Japanese,Corperate
Y0244,132299,61,80436,music,Franch,Individual
Y0245,45465,75,66428,food,English,Goverment
Y0246,119265,74,100330,travel,English,NGO
Y0247,96033,66,38340,travel,Franch,Goverment
Y0248,92681,35,111307,food,English,Goverment
Y0249,92223,15,57636,travel,Chinese,NGO
Y0250,91737,3,136038,gaming,Japanese,Goverment
Y0251,107587,4,106305,gaming,English,Goverment
Y0252,48117,18,44345,gaming,English,Individual
Y0253,118092,36,161847,travel,Franch,Corperate
Y0254,123060,34,133905,travel,Spanish,Individual
Y0255,63054,79,18700,gaming,Japanese,Corperate
Y0256,137352,17,158412,gaming,English,Corperate
Y0257,87616,10,79144,gaming,Russia,NGO
Y0258,144600,88,77669,gaming,Russia,NGO
Y0259,62738,42,63321,food,Franch,Individual
Y0260,50132,94,43078,news,English,Individual
Y0261,122982,58,26005,music,Franch,Goverment
Y0262,78914,50,54070,news,English,Individual
Y0263,37204,85,50096,gaming,English,NGO
Y0264,149605,89,90169,news,English,Individual
Y0265,65668,76,86102,news,Japanese,Goverment
Y0266,31661,84,16596,food,English,NGO
Y0267,116696,6,10566,food,English,Individual
Y0268,53738,89,13917,gaming,English,Goverment
Y0269,140736,78,39528,food,English,NGO
Y0270,1,58,116,music,Spanish,Individual
Y0271,119202,9,69378,food,Japanese,Goverment
Y0272,196656,7,257745,music,Japanese,NGO
Y0273,150660,60,39129,travel,Franch,Goverment
Y0274,143736,15,8191,gaming,Franch,Goverment
Y0275,89680,60,106418,music,English,Individual
Y0276,165301,76,60249,travel,English,Goverment
Y0277,110042,67,72805,news,Spanish,NGO
Y0278,75000,8,78103,travel,Japanese,NGO
Y0279,20738,97,3420,music,Franch,Individual
Y0280,48658,31,34030,food,English,NGO
Y0281,79266,65,94425,travel,Franch,Corperate
Y0282,56348,88,65500,food,English,Individual
Y0283,107946,56,86258,gaming,English,Individual
Y0284,101819,63,77881,food,English,Goverment
Y0285,140729,98,79440,travel,English,Goverment
Y0286,127448,33,180688,travel,Japanese,NGO
Y0287,92381,67,41224,travel,Chinese,Goverment
Y0288,91674,75,101813,gaming,Chinese,Corperate
Y0289,1,6,0,travel,Spanish,Goverment
Y0290,86112,88,59757,news,English,Goverment
Y0291,92739,30,23339,gaming,English,Individual
Y0292,29206,88,4269,travel,Spanish,Goverment
Y0293,132024,7,105399,food,English,NGO
Y0294,1,41,958,news,Franch,Goverment
Y0295,176210,41,256610,travel,Franch,Goverment
Y0296,92966,35,115877,music,English,Goverment
Y0297,1,91,100,news,Russia,NGO
Y0298,46803,83,33980,food,English,NGO
Y0299,90266,19,19344,news,English,Individual
Y0300,93140,30,97316,music,Japanese,NGO
Y0301,120262,67,165017,music,Japanese,Corperate
Y0302,115827,96,75848,travel,English,Goverment
Y0303,23503,66,18510,gaming,English,NGO
Y0304,75909,15,3199,food,Spanish,Goverment
Y0305,31734,84,48305,news,English,Corperate
Y0306,69048,13,25889,news,Russia,Goverment
Y0307,131569,84,159905,music,English,Individual
Y0308,130717,43,106471,travel,English,Individual
Y0309,134462,24,200403,food,Russia,Goverment
Y0310,186971,80,7842,news,Russia,Goverment
Y0311,205149,23,59170,gaming,Chinese,NGO
Y0312,133156,85,69029,music,Chinese,NGO
Y0313,92605,28,17949,music,English,Corperate
Y0314,124824,75,128401,travel,Chinese,Goverment
Y0315,105675,81,54077,music,Chinese,Individual
Y0316,116610,35,162075,food,English,NGO
Y0317,57403,92,49789,food,English,Individual
Y0318,170598,89,173766,food,English,Goverment
Y0319,31442,80,17137,food,Japanese,NGO
Y0320,189315,26,224824,gaming,English,Individual
Y0321,173757,86,244219,gaming,English,Individual
Y0322,29003,70,24122,travel,English,Individual
Y0323,126566,25,118459,gaming,Chinese,Individual
Y0324,120743,91,17567,travel,Spanish,Individual
Y0325,156500,80,74039,food,Russia,Goverment
Y0326,147275,43,87839,food,English,Individual
Y0327,18205,85,2718,news,Chinese,Individual
Y0328,1,33,0,news,English,Goverment
Y0329,65923,66,17220,news,Chinese,Goverment
Y0330,80953,33,28901,gaming,English,Goverment
Y0331,108319,34,92753,travel,English,Individual
Y0332,97307,32,122251,food,English,Individual
Y0333,81982,1,50416,gaming,Spanish,NGO
Y0334,86395,34,25529,food,English,NGO
Y0335,58435,31,35278,travel,English,NGO
Y0336,80479,36,85141,music,Japanese,Goverment
Y0337,43468,79,14374,travel,English,Individual
Y0338,198865,63,260005,food,Spanish,NGO
Y0339,121555,31,175631,food,Spanish,Individual
Y0340,112586,29,50359,travel,Franch,Corperate
Y0341,194942,42,142691,music,English,Individual
Y0342,208130,85,163337,music,Russia,Individual
Y0343,123398,72,1307,gaming,Japanese,NGO
Y0344,60985,18,46484,food,English,NGO
Y0345,88618,61,131188,food,Russia,NGO
Y0346,1,11,0,music,Russia,Goverment
Y0347,94749,93,8621,gaming,Spanish,Individual
Y0348,29934,8,11870,music,Russia,Goverment
Y0349,44649,29,58003,news,Franch,Goverment
Y0350,3327,34,1032,gaming,Spanish,Individual
Y0351,113516,15,93861,travel,English,Individual
Y0352,109035,86,26572,travel,English,NGO
Y0353,92522,4,49373,music,Spanish,Individual
Y0354,106892,50,79843,food,Chinese,Corperate
Y0355,158222,72,146931,music,Spanish,NGO
Y0356,110923,21,21663,food,English,NGO
Y0357,132452,68,126680,news,Franch,Individual
Y0358,154653,57,213029,gaming,Russia,Goverment
Y0359,120683,12,54965,travel,English,Corperate
Y0360,1,91,262,music,Chinese,Individual
Y0361,91559,83,96086,music,Franch,Individual
Y0362,179344,88,68808,food,English,Individual
Y0363,163056,4,23005,gaming,Japanese,Goverment
Y0364,59224,26,13381,travel,Franch,NGO
Y0365,116146,34,31104,food,Chinese,Goverment
Y0366,129218,68,153771,news,Spanish,Individual
Y0367,119414,56,142437,music,Franch,NGO
Y0368,64867,82,39279,news,Japanese,Corperate
Y0369,8134,22,11743,travel,English,Individual
Y0370,106854,6,8164,music,Russia,NGO
Y0371,85675,2,117034,food,English,Individual
Y0372,43483,79,37069,news,English,Goverment
Y0373,150756,92,16847,music,English,NGO
Y0374,72817,71,71616,gaming,Chinese,Goverment
Y0375,139033,60,189211,news,Spanish,Individual
Y0376,142496,33,85778,music,Japanese,Individual
Y0377,174227,6,179868,travel,Chinese,Individual
Y0378,232277,57,168824,travel,English,NGO
Y0379,112121,76,33528,news,English,Corperate
Y0380,32255,71,22606,food,English,Corperate
Y0381,89286,81,88521,music,Chinese,NGO
Y0382,68395,5,23777,gaming,English,Individual
Y0383,114546,94,100455,food,English,NGO
Y0384,48554,30,44287,music,Russia,NGO
Y0385,177485,51,230602,food,Russia,Goverment
Y0386,81001,31,21790,news,Japanese,NGO
Y0387,87073,13,48771,gaming,Russia,NGO
Y0388,132605,81,20581,music,English,Individual
Y0389,101728,92,81293,music,Russia,Goverment
Y0390,251969,17,16637,food,English,NGO
Y0391,38028,45,52956,gaming,English,NGO
Y0392,106082,83,123550,gaming,English,NGO
Y0393,123039,56,171940,gaming,Chinese,Goverment
Y0394,71344,17,18061,food,English,Corperate
Y0395,143458,43,15554,food,Russia,Goverment
Y0396,35580,78,1544,gaming,English,Individual
Y0397,12349,96,1140,travel,English,Individual
Y0398,24949,63,13371,news,English,NGO
Y0399,37542,12,56385,gaming,English,Individual
Y0400,75050,13,60241,food,Chinese,Individual
Y0401,153942,86,83828,food,Japanese,Individual
Y0402,146367,33,190021,food,Franch,Goverment
Y0403,106317,52,117450,food,English,Individual
Y0404,54948,87,64044,food,Spanish,NGO
Y0405,90334,5,126168,travel,Japanese,Goverment
Y0406,121797,21,22818,food,Franch,Individual
Y0407,131903,9,178954,food,Russia,Individual
Y0408,85481,53,24967,travel,Japanese,Individual
Y0409,112313,76,136719,news,Spanish,NGO
Y0410,112690,64,90512,gaming,Chinese,NGO
Y0411,83218,60,38747,news,English,Goverment
Y0412,88038,92,5624,food,English,Goverment
Y0413,154086,54,31342,news,English,Corperate
Y0414,97248,8,132090,food,Russia,Goverment
Y0415,137198,64,10827,gaming,Chinese,Individual
Y0416,28194,99,375,gaming,Chinese,NGO
Y0417,86530,15,9284,travel,English,Individual
Y0418,68261,54,58976,travel,Japanese,Goverment
Y0419,62020,17,28833,gaming,Franch,Goverment
Y0420,47878,25,49410,food,English,Individual
Y0421,164432,96,154987,food,Russia,Individual
Y0422,62252,29,73807,gaming,English,Corperate
Y0423,54877,25,67894,travel,English,Goverment
Y0424,11142,89,9495,gaming,English,Goverment
Y0425,93294,49,47738,music,English,Individual
Y0426,168657,65,150176,food,English,Individual
Y0427,119620,58,123243,gaming,Spanish,Goverment
Y0428,126215,7,128699,travel,Spanish,Corperate
Y0429,97861,63,142531,news,Spanish,Individual
Y0430,109006,99,43308,travel,English,NGO
Y0431,131758,38,102471,gaming,Japanese,Individual
Y0432,127385,76,46103,food,Chinese,Goverment
Y0433,136892,63,156215,news,Japanese,Individual
Y0434,121270,8,154410,news,Japanese,Individual
Y0435,29071,48,18188,food,English,Individual
Y0436,72941,5,12343,travel,English,Individual
Y0437,153651,1,158443,music,English,Individual
Y0438,123679,42,105979,news,English,Individual
Y0439,86604,10,127326,gaming,Japanese,Goverment
Y0440,147819,22,179065,travel,English,Corperate
Y0441,95563,66,82682,travel,Russia,NGO
Y0442,78410,77,62747,gaming,English,Goverment
Y0443,120035,44,132646,food,Chinese,Goverment
Y0444,79032,98,85610,gaming,Japanese,Individual
Y0445,90878,6,15438,news,English,Individual
Y0446,128520,15,50506,travel,Russia,NGO
Y0447,58751,7,61459,music,Spanish,Individual
Y0448,88635,29,15340,food,Franch,Individual
Y0449,115919,96,103608,food,English,Individual
Y0450,17295,76,10258,music,Russia,NGO
Y0451,154558,33,168718,news,Franch,Individual
Y0452,76015,78,17632,music,Japanese,Corperate
Y0453,76497,8,58947,news,Russia,Corperate
Y0454,63959,98,4458,food,English,Goverment
Y0455,78302,25,115189,gaming,English,Individual
Y0456,130156,9,133111,food,Russia,Individual
Y0457,55720,78,62964,travel,Franch,NGO
Y0458,38710,59,46776,travel,English,NGO
Y0459,100251,53,140617,food,Spanish,NGO
Y0460,115907,10,2603,news,English,Individual
Y0461,112254,98,40316,travel,English,Individual
Y0462,105258,93,147923,travel,Chinese,Individual
Y0463,45753,79,60949,news,Chinese,Individual
Y0464,123296,90,101830,travel,Russia,Corperate
Y0465,130546,35,89470,music,English,Goverment
Y0466,89760,20,43536,music,Spanish,Corperate
Y0467,144576,36,124933,music,Chinese,NGO
Y0468,58302,66,82450,news,Japanese,NGO
Y0469,57845,44,39992,food,Japanese,Individual
Y0470,209837,60,185251,music,Franch,Corperate
Y0471,106650,39,29245,news,English,Individual
Y0472,60573,37,13838,gaming,English,NGO
Y0473,145222,62,183119,gaming,English,NGO
Y0474,93481,48,107635,food,Russia,Individual
Y0475,105663,31,66020,music,English,Corperate
Y0476,179506,40,18155,news,Russia,Individual
Y0477,129386,69,26526,food,Japanese,Individual
Y0478,98854,9,125657,food,English,Individual
Y0479,88188,29,15882,music,Chinese,Corperate
Y0480,88510,83,94966,food,Russia,Individual
Y0481,83330,44,120660,music,English,NGO
Y0482,85648,73,77719,food,Japanese,Individual
Y0483,91696,28,117755,travel,English,Individual
Y0484,48153,33,23119,food,English,Individual
Y0485,148282,76,185027,gaming,Russia,NGO
Y0486,250252,29,204689,news,English,Corperate
Y0487,49381,52,72326,food,Chinese,Individual
Y0488,102456,5,106579,music,English,Individual
Y0489,126315,74,32040,food,English,Goverment
Y0490,151942,18,69333,travel,English,Individual
Y0491,72414,82,96663,food,Chinese,NGO
Y0492,108820,75,148678,music,Franch,Individual
Y0493,8568,71,5016,travel,Chinese,Individual
Y0494,24822,12,1161,travel,English,NGO
Y0495,33183,90,4113,food,Chinese,Individual
Y0496,43256,95,12933,gaming,English,Goverment
Y0497,70628,91,22122,gaming,English,NGO
Y0498,43082,88,2545,food,Franch,Corperate
Y0499,8225,5,7032,music,Spanish,Goverment
Y0500,99019,31,111470,gaming,English,Individual
Y0501,94106,65,132712,music,Japanese,Individual
Y0502,46277,66,3885,travel,Japanese,Goverment
Y0503,78587,3,68207,food,Russia,NGO
Y0504,62763,86,71098,travel,English,Individual
Y0505,161003,44,56232,gaming,English,NGO
Y0506,168791,34,21183,travel,English,NGO
Y0507,77033,94,66830,news,Russia,Individual
Y0508,97269,71,43110,music,English,Corperate
Y0509,121561,20,24021,gaming,English,Corperate
Y0510,66029,80,42658,food,English,NGO
Y0511,137579,69,154449,gaming,Franch,Individual
Y0512,98697,11,4372,news,Russia,NGO
Y0513,85072,58,16353,travel,English,Goverment
Y0514,52111,65,78686,travel,Japanese,Individual
Y0515,145275,53,82144,music,English,NGO
Y0516,84696,31,104782,music,English,Individual
Y0517,129076,50,6470,gaming,English,Goverment
Y0518,123985,34,82941,music,Russia,Corperate
Y0519,28266,24,25298,food,Spanish,Corperate
Y0520,158130,40,25907,music,English,Individual
Y0521,69230,94,57213,gaming,Chinese,Individual
Y0522,109982,40,59565,gaming,Japanese,Corperate
Y0523,163019,68,9501,news,English,Corperate
Y0524,51110,63,9950,music,Spanish,Individual
Y0525,37901,93,54763,food,Chinese,NGO
Y0526,92732,66,94200,news,Spanish,NGO
Y0527,88220,79,46579,news,Russia,NGO
Y0528,117888,53,163458,music,English,Individual
Y0529,153558,63,106883,music,English,Individual
Y0530,163938,73,84816,gaming,Russia,Goverment
Y0531,63452,70,74569,music,English,NGO
Y0532,91944,12,54552,news,English,Corperate
Y0533,185940,38,170341,gaming,Franch,Goverment
Y0534,140475,43,154651,music,Franch,Individual
Y0535,106442,4,155638,news,English,Corperate
Y0536,126107,76,1656,travel,Russia,Goverment
Y0537,88465,24,54496,gaming,English,Goverment
Y0538,52884,33,33384,news,Japanese,Individual
Y0539,93897,39,77610,music,Spanish,Goverment
Y0540,130544,19,76044,food,Franch,NGO
Y0541,56639,42,17442,travel,Chinese,NGO
Y0542,65447,18,68732,travel,Franch,NGO
Y0543,66743,70,46582,music,Franch,NGO
Y0544,90201,68,88099,food,Chinese,Individual
Y0545,105944,43,109931,travel,English,NGO
Y0546,43421,33,43915,food,Japanese,Corperate
Y0547,224249,86,168746,news,English,Goverment
Y0548,138789,97,76509,news,Russia,Goverment
Y0549,12067,87,13321,gaming,English,Individual
Y0550,122081,29,53569,gaming,Chinese,Individual
Y0551,43348,75,61614,music,Chinese,Goverment
Y0552,90774,86,101646,travel,English,Goverment
Y0553,8003,74,3064,travel,Russia,Corperate
Y0554,84561,9,107409,news,Japanese,Individual
Y0555,76217,62,11692,food,English,NGO
Y0556,84641,77,30814,music,English,Individual
Y0557,101552,1,126995,travel,Chinese,NGO
Y0558,122420,74,91923,food,Franch,Individual
Y0559,90077,43,103922,news,English,NGO
Y0560,99585,69,51568,travel,English,Corperate
Y0561,162824,49,242718,music,Chinese,NGO
Y0562,181577,22,32482,travel,English,Goverment
Y0563,90389,51,71818,gaming,English,Goverment
Y0564,104123,11,122119,food,Russia,NGO
Y0565,97435,68,44100,gaming,Russia,Individual
Y0566,113426,77,87447,food,Spanish,Corperate
Y0567,79414,20,85412,food,Russia,Individual
Y0568,90928,26,117207,music,Chinese,Individual
Y0569,60087,19,30074,travel,English,NGO
Y0570,186016,56,236028,travel,Russia,Individual
Y0571,148490,39,94706,music,Russia,Corperate
Y0572,51678,41,62675,food,Japanese,Corperate
Y0573,182536,76,24735,news,Spanish,Individual
Y0574,68203,68,52104,news,English,Corperate
Y0575,217947,84,324421,travel,Franch,NGO
Y0576,105819,91,70954,music,English,Individual
Y0577,114117,32,29242,news,English,Goverment
Y0578,36352,26,29458,news,Chinese,NGO
Y0579,91822,57,95769,food,Russia,Goverment
Y0580,122298,57,163833,food,Japanese,NGO
Y0581,183319,8,16133,food,Japanese,Goverment
Y0582,102569,47,123591,music,English,Corperate
Y0583,117298,30,50793,music,Spanish,Goverment
Y0584,50188,73,15051,music,Japanese,NGO
Y0585,148148,49,157814,gaming,English,NGO
Y0586,61425,57,17500,travel,Japanese,NGO
Y0587,162984,40,150821,gaming,Japanese,Individual
Y0588,88717,64,125320,music,English,Goverment
Y0589,94511,47,11231,music,English,Individual
Y0590,153527,97,68250,food,Spanish,Individual
Y0591,94354,81,69737,news,English,Individual
Y0592,103248,38,117768,news,English,NGO
Y0593,98849,44,22363,travel,Franch,NGO
Y0594,128471,63,182166,news,English,Individual
Y0595,54969,53,2524,food,Japanese,NGO
Y0596,154012,1,125258,travel,English,Individual
Y0597,56246,56,64373,travel,English,Individual
